Date	Sno	Width	Height
2017.03.14 01:05:03.176	2615996048	63	63
2017.03.14 01:05:03.193	2616058984	63	127
2017.03.14 01:05:03.210	2616225510	63	63
2017.03.14 01:05:03.228	2616588266	63	63
2017.03.14 01:05:03.244	2616638406	81	163
2017.03.14 01:05:03.260	2618644781	208	29
2017.03.14 01:05:03.276	2618832936	63	63
2017.03.14 01:05:03.293	2618965635	63	63
2017.03.14 01:05:03.309	2620018857	63	63
2017.03.14 01:05:03.326	2620321731	63	63
2017.03.14 01:05:03.343	2621204778	63	63
2017.03.14 01:05:03.359	2621519150	63	63
2017.03.14 01:05:03.376	2622390699	63	63
2017.03.14 01:05:03.392	2623576620	63	63
2017.03.14 01:05:03.409	2623743044	63	63
2017.03.14 01:05:03.426	2624549278	63	127
2017.03.14 01:05:03.442	2624613347	63	127
2017.03.14 01:05:03.459	2624656827	63	63
2017.03.14 01:05:03.476	2625753733	63	127
2017.03.14 01:05:03.492	2625785381	63	127
2017.03.14 01:05:03.509	2626355001	63	127
2017.03.14 01:05:03.525	2626355449	63	127
2017.03.14 01:05:03.542	2626496051	81	163
2017.03.14 01:05:03.560	2628008599	63	63
2017.03.14 01:05:03.577	2628419029	63	63
2017.03.14 01:05:03.593	2629097545	63	63
2017.03.14 01:05:03.610	2629412233	63	63
2017.03.14 01:05:03.627	2630163488	63	127
2017.03.14 01:05:03.644	2630321083	63	63
2017.03.14 01:05:03.660	2630596017	63	63
2017.03.14 01:05:03.678	2630604918	63	63
2017.03.14 01:05:03.695	2630760815	63	63
2017.03.14 01:05:03.712	2630993681	63	63
2017.03.14 01:05:03.728	2631068636	127	127
2017.03.14 01:05:03.746	2631068637	127	127
2017.03.14 01:05:03.763	2633328419	63	63
2017.03.14 01:05:03.779	2633625520	63	127
2017.03.14 01:05:03.796	2633637448	63	127
2017.03.14 01:05:03.813	2633707098	63	127
2017.03.14 01:05:03.829	2633863207	55	123
2017.03.14 01:05:03.846	2634049455	63	127
2017.03.14 01:05:03.864	2634470574	63	127
2017.03.14 01:05:03.880	2636700425	63	127
2017.03.14 01:05:03.898	2636742713	63	63
2017.03.14 01:05:03.915	2637319623	63	127
2017.03.14 01:05:03.932	2638049329	63	63
2017.03.14 01:05:03.949	2638572111	127	127
2017.03.14 01:05:03.965	2639019912	63	63
2017.03.14 01:05:03.982	2639201745	275	18
2017.03.14 01:05:04.000	2639666445	63	63
2017.03.14 01:05:04.016	2639944038	63	63
2017.03.14 01:05:04.034	2640485540	39	39
2017.03.14 01:05:04.050	2640655164	63	63
2017.03.14 01:05:04.066	2645102129	63	63
2017.03.14 01:05:04.084	2645109200	63	127
2017.03.14 01:05:04.101	2648349778	81	163
2017.03.14 01:05:04.117	2648594014	63	63
2017.03.14 01:05:04.136	2649004444	63	63
2017.03.14 01:05:04.153	2654889491	63	63
2017.03.14 01:05:04.170	2655810861	63	63
2017.03.14 01:05:04.186	2656685776	63	127
2017.03.14 01:05:04.203	2658962212	63	127
2017.03.14 01:05:04.220	2658983146	63	63
2017.03.14 01:05:04.237	2660331930	63	63
2017.03.14 01:05:04.253	2662034163	63	63
2017.03.14 01:05:04.269	2663684671	63	127
2017.03.14 01:05:04.286	2665157960	63	63
2017.03.14 01:05:04.303	2667474682	63	63
2017.03.14 01:05:04.320	2667831940	63	63
2017.03.14 01:05:04.336	2668607434	127	127
2017.03.14 01:05:04.354	2668750001	63	127
2017.03.14 01:05:04.371	2669273564	63	63
2017.03.14 01:05:04.388	2669524166	487	425
2017.03.14 01:05:04.405	2674185387	63	63
2017.03.14 01:05:04.422	2674842276	81	163
2017.03.14 01:05:04.439	2676518232	63	127
2017.03.14 01:05:04.456	2676554470	94	142
2017.03.14 01:05:04.473	2678071358	63	63
2017.03.14 01:05:04.490	2679318752	63	63
2017.03.14 01:05:04.507	2679422569	63	63
2017.03.14 01:05:04.524	2679620933	39	39
2017.03.14 01:05:04.541	2680122408	63	63
2017.03.14 01:05:04.557	2680277445	63	63
2017.03.14 01:05:04.575	2680361756	63	63
2017.03.14 01:05:04.592	2680506718	63	127
2017.03.14 01:05:04.608	2680506719	63	127
2017.03.14 01:05:04.626	2680506720	63	127
2017.03.14 01:05:04.644	2680506721	63	127
2017.03.14 01:05:04.662	2680506722	63	127
2017.03.14 01:05:04.680	2681912126	63	63
2017.03.14 01:05:04.698	2682440697	63	127
2017.03.14 01:05:04.715	2682801074	63	127
2017.03.14 01:05:04.731	2684772343	63	63
2017.03.14 01:05:04.748	2686478765	81	163
2017.03.14 01:05:04.765	2687729407	63	63
2017.03.14 01:05:04.782	2688139837	63	63
2017.03.14 01:05:04.799	2688203353	63	63
2017.03.14 01:05:04.816	2689017143	63	127
2017.03.14 01:05:04.833	2689624890	63	63
2017.03.14 01:05:04.849	2690985768	63	63
2017.03.14 01:05:04.866	2690985769	63	63
2017.03.14 01:05:04.883	2690985770	63	63
2017.03.14 01:05:04.901	2690985771	63	63
2017.03.14 01:05:04.918	2690985772	63	63
2017.03.14 01:05:04.934	2690985773	63	63
2017.03.14 01:05:04.952	2690985774	63	63
2017.03.14 01:05:04.968	2690985775	63	63
2017.03.14 01:05:04.985	2690985776	63	63
2017.03.14 01:05:05.002	2690985800	63	63
2017.03.14 01:05:05.019	2692596937	63	63
2017.03.14 01:05:05.036	2693238333	63	63
2017.03.14 01:05:05.052	2693534288	63	127
2017.03.14 01:05:05.069	2693699799	63	63
2017.03.14 01:05:05.085	2694666673	63	63
